Overall rank,Country or region,Score,GDP_per_capita,Social_support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1
149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141
150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089
151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
154,Afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025
155,Central African Republic,3.083,0.026,0,0.105,0.225,0.235,0.035
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091
